,finished_1,time_1,number_1,finished_2,time_2,number_2,finished_3,time_3,number_3,finished_4,time_4,number_4,finished_5,time_5,number_5,finished_6,time_6,number_6,finished_7,time_7,number_7,finished_8,time_8,number_8,finished_9,time_9,number_9,finished_10,time_10,number_10,finished_11,time_11,number_11,finished_12,time_12,number_12,finished_13,time_13,number_13,finished_14,time_14,number_14,finished_15,time_15,number_15,finished_16,time_16,number_16,finished_17,time_17,number_17,finished_18,time_18,number_18,finished_19,time_19,number_19,finished_20,time_20,number_20,finished_21,time_21,number_21,finished_22,time_22,number_22,finished_23,time_23,number_23,finished_24,time_24,number_24,finished_25,time_25,number_25,finished_26,time_26,number_26,finished_27,time_27,number_27,finished_28,time_28,number_28,finished_29,time_29,number_29,finished_30,time_30,number_30,finished_31,time_31,number_31,finished_32,time_32,number_32,finished_33,time_33,number_33,finished_34,time_34,number_34,finished_35,time_35,number_35,finished_36,time_36,number_36,finished_37,time_37,number_37,finished_38,time_38,number_38,finished_39,time_39,number_39,finished_40,time_40,number_40,finished_41,time_41,number_41,finished_42,time_42,number_42,finished_43,time_43,number_43,finished_44,time_44,number_44,finished_45,time_45,number_45,finished_46,time_46,number_46,finished_47,time_47,number_47,finished_48,time_48,number_48,finished_49,time_49,number_49,finished_50,time_50,number_50,finished_51,time_51,number_51,finished_52,time_52,number_52,finished_53,time_53,number_53,finished_54,time_54,number_54,finished_55,time_55,number_55,finished_56,time_56,number_56,finished_57,time_57,number_57,finished_58,time_58,number_58,finished_59,time_59,number_59,finished_60,time_60,number_60
1,1.0,7.838248014450073,1.0,1.0,16.856973886489868,2.0,1.0,3.1948490142822266,1.0,1.0,2.86889910697937,1.0,1.0,16.478034019470215,2.0,1.0,4.540879964828491,1.0,1.0,3.6921560764312744,1.0,1.0,34.001805782318115,2.0,1.0,8.677154064178467,2.0,1.0,18.211787939071655,2.0,1.0,6.1092400550842285,1.0,1.0,5.115249156951904,1.0,1.0,60.91899514198303,3.0,1.0,19.899199962615967,1.0,1.0,5.390262126922607,1.0,1.0,13.924111127853394,1.0,1.0,10.334521055221558,1.0,1.0,32.68964862823486,3.0,1.0,9.238014936447144,1.0,1.0,6.143703937530518,1.0,1.0,19.067967891693115,2.0,1.0,4.910384893417358,1.0,1.0,5.716162919998169,1.0,1.0,83.12515878677368,3.0,1.0,48.0665979385376,3.0,1.0,4.99115514755249,1.0,1.0,51.54409694671631,2.0,1.0,10.625393152236938,1.0,1.0,9.161961078643799,1.0,1.0,13.354809045791626,1.0,1.0,18.904836893081665,2.0,1.0,6.191004037857056,1.0,1.0,24.25871706008911,2.0,1.0,74.69965600967407,2.0,1.0,6.707941055297852,1.0,1.0,7.839450836181641,1.0,1.0,8.625367164611816,1.0,0.0,0.0,3.0,1.0,46.27690410614014,2.0,1.0,6.267831802368164,1.0,1.0,48.542412757873535,3.0,1.0,17.562000036239624,2.0,1.0,14.91620683670044,1.0,1.0,27.755341053009033,1.0,1.0,17.88431406021118,2.0,1.0,24.01879382133484,2.0,1.0,20.173233032226562,1.0,1.0,6.099128007888794,1.0,1.0,14.852581024169922,1.0,1.0,14.679330110549927,1.0,1.0,17.121100187301636,2.0,1.0,6.368036985397339,1.0,1.0,12.463517904281616,1.0,1.0,21.741281032562256,1.0,1.0,7.104836940765381,1.0,1.0,9.757563829421997,1.0,1.0,27.935568809509277,1.0,1.0,21.3288791179657,2.0,1.0,6.988692045211792,1.0,1.0,12.591468811035156,1.0
2,1.0,11.431410074234009,1.0,1.0,28.98300290107727,1.0,1.0,2.6442790031433105,1.0,1.0,2.419590950012207,1.0,1.0,2.936490058898926,1.0,1.0,5.3981781005859375,1.0,1.0,3.955873966217041,1.0,1.0,12.780884981155396,2.0,1.0,4.979018926620483,1.0,1.0,16.75755286216736,1.0,1.0,3.148573160171509,1.0,1.0,10.942017078399658,1.0,1.0,5.123986005783081,1.0,1.0,4.777995824813843,1.0,1.0,21.171377897262573,1.0,1.0,6.389987945556641,1.0,1.0,7.306132078170776,1.0,1.0,8.812114953994751,1.0,1.0,11.25764513015747,1.0,1.0,10.413506031036377,1.0,1.0,5.281132936477661,1.0,1.0,4.108989000320435,1.0,1.0,9.119455814361572,1.0,1.0,5.725732088088989,1.0,1.0,11.871652126312256,1.0,1.0,7.3332359790802,1.0,1.0,35.62444186210632,2.0,1.0,6.061461925506592,1.0,1.0,33.67425799369812,1.0,1.0,10.914727926254272,1.0,1.0,17.6476309299469,2.0,1.0,7.642748117446899,1.0,1.0,14.119077920913696,1.0,1.0,48.564220905303955,2.0,1.0,11.24809193611145,1.0,1.0,8.351996898651123,1.0,1.0,21.83176016807556,1.0,1.0,5.61811089515686,1.0,1.0,58.09786915779114,2.0,1.0,57.60010099411011,2.0,1.0,7.970863103866577,1.0,1.0,28.98967695236206,2.0,1.0,10.776330947875977,1.0,1.0,8.540579080581665,1.0,1.0,13.102958917617798,1.0,1.0,16.630629301071167,2.0,1.0,16.950937747955322,2.0,1.0,5.4010210037231445,1.0,1.0,8.766774892807007,1.0,1.0,13.90452790260315,1.0,1.0,18.27516484260559,1.0,1.0,7.155232906341553,2.0,1.0,15.905921936035156,2.0,1.0,23.952352046966553,1.0,1.0,6.72956109046936,1.0,1.0,40.07516002655029,2.0,1.0,12.840873956680298,1.0,1.0,12.560969114303589,1.0,1.0,7.302505970001221,1.0,1.0,15.002975940704346,1.0
3,1.0,24.869579076766968,1.0,1.0,19.21784281730652,1.0,1.0,2.2787129878997803,1.0,1.0,10.128669023513794,1.0,1.0,14.973156929016113,2.0,1.0,4.191926002502441,1.0,1.0,4.169203996658325,1.0,1.0,5.871909856796265,1.0,1.0,3.5799319744110107,1.0,1.0,2.8624191284179688,1.0,1.0,5.50567102432251,1.0,0.0,0.0,1.0,1.0,4.8145201206207275,1.0,1.0,5.048002004623413,1.0,1.0,5.163698196411133,1.0,1.0,7.620275974273682,1.0,1.0,5.952402830123901,1.0,1.0,10.234328031539917,1.0,1.0,4.320713043212891,1.0,1.0,3.3535408973693848,1.0,1.0,3.576176881790161,1.0,1.0,3.5221340656280518,1.0,1.0,4.260174989700317,1.0,1.0,14.987945079803467,1.0,1.0,24.0169677734375,1.0,1.0,3.3731021881103516,1.0,0.0,0.0,2.0,1.0,10.04786992073059,1.0,1.0,10.611323118209839,1.0,1.0,8.535632133483887,1.0,1.0,8.321266889572144,1.0,1.0,8.732357025146484,1.0,1.0,16.443870067596436,1.0,0.0,0.0,1.0,1.0,8.478744983673096,1.0,1.0,5.139639854431152,1.0,1.0,13.879302024841309,2.0,0.0,0.0,2.0,1.0,51.62171721458435,2.0,0.0,0.0,1.0,1.0,7.9894959926605225,1.0,1.0,9.306810140609741,1.0,1.0,7.859668016433716,1.0,1.0,6.631633996963501,1.0,1.0,6.953036069869995,1.0,1.0,11.541192054748535,1.0,1.0,36.004217863082886,1.0,0.0,0.0,1.0,1.0,10.297177076339722,1.0,1.0,39.541561126708984,1.0,1.0,5.1546571254730225,1.0,1.0,7.569705009460449,1.0,1.0,10.83082890510559,1.0,1.0,13.178305864334106,1.0,1.0,7.362723112106323,1.0,1.0,8.766300916671753,1.0,1.0,7.8086090087890625,1.0,1.0,12.011021852493286,1.0,1.0,6.83271598815918,1.0,1.0,8.611531972885132,1.0
4,1.0,7.17648983001709,1.0,1.0,12.170643091201782,1.0,1.0,1.9939510822296143,1.0,1.0,1.7302429676055908,1.0,1.0,20.65916109085083,2.0,1.0,5.322583913803101,1.0,1.0,4.336727857589722,1.0,1.0,2.831270933151245,1.0,1.0,2.494732141494751,1.0,1.0,9.371474981307983,1.0,1.0,3.5161311626434326,1.0,1.0,3.9159319400787354,1.0,1.0,12.950303077697754,2.0,1.0,3.85109806060791,1.0,1.0,3.904801845550537,1.0,1.0,7.971213102340698,1.0,1.0,3.626716136932373,1.0,0.0,0.0,2.0,1.0,3.697093963623047,1.0,1.0,3.887223958969116,1.0,1.0,4.29845404624939,1.0,1.0,3.9405059814453125,1.0,1.0,12.86400818824768,3.0,0.0,0.0,5.0,1.0,12.956126928329468,2.0,1.0,3.4568910598754883,1.0,1.0,40.24962520599365,3.0,1.0,5.20436692237854,1.0,1.0,5.471405982971191,1.0,1.0,8.038994073867798,1.0,0.0,0.0,1.0,1.0,4.735815048217773,1.0,1.0,11.512582063674927,1.0,0.0,0.0,1.0,1.0,29.718830823898315,2.0,1.0,7.9745728969573975,1.0,1.0,16.949239015579224,2.0,0.0,0.0,1.0,1.0,27.094511032104492,2.0,0.0,0.0,1.0,1.0,7.075532913208008,1.0,1.0,13.993964910507202,2.0,1.0,8.888774156570435,1.0,1.0,12.264060020446777,1.0,1.0,15.087591648101807,2.0,1.0,6.034279823303223,1.0,1.0,34.8785400390625,2.0,1.0,5.933644771575928,1.0,1.0,11.119401216506958,2.0,1.0,10.922821998596191,1.0,1.0,4.939954042434692,1.0,1.0,5.5353779792785645,1.0,1.0,14.132745027542114,2.0,1.0,13.5018630027771,1.0,1.0,6.244275093078613,1.0,1.0,6.843674182891846,1.0,1.0,23.60980772972107,2.0,1.0,29.08480405807495,3.0,1.0,7.842902898788452,1.0,1.0,9.047407865524292,1.0
5,1.0,5.482975959777832,1.0,1.0,9.902529954910278,1.0,1.0,2.025641918182373,1.0,1.0,2.806736946105957,1.0,1.0,10.036987066268921,2.0,1.0,7.204812049865723,1.0,1.0,2.9443161487579346,1.0,1.0,2.6398141384124756,1.0,1.0,3.6992199420928955,1.0,1.0,4.24865984916687,1.0,1.0,2.8747270107269287,1.0,1.0,3.643033981323242,1.0,1.0,17.591941118240356,2.0,1.0,3.8888068199157715,1.0,1.0,3.037322998046875,1.0,1.0,5.390259027481079,1.0,1.0,4.73927116394043,1.0,1.0,7.2199859619140625,1.0,1.0,12.512826919555664,1.0,1.0,4.291684150695801,1.0,1.0,4.207364797592163,1.0,1.0,3.266947031021118,1.0,1.0,11.884907007217407,1.0,1.0,3.4475319385528564,1.0,1.0,11.588107109069824,1.0,1.0,3.4875118732452393,1.0,1.0,14.598439931869507,2.0,1.0,5.43856406211853,1.0,1.0,5.40781307220459,1.0,1.0,9.855955123901367,1.0,1.0,7.2627809047698975,1.0,1.0,5.363201856613159,1.0,1.0,11.911638975143433,1.0,1.0,3.437743902206421,1.0,1.0,5.137109994888306,1.0,1.0,8.586079120635986,1.0,1.0,13.259199857711792,2.0,1.0,5.373928070068359,1.0,1.0,20.183364152908325,2.0,1.0,6.94894003868103,1.0,1.0,18.495760917663574,2.0,1.0,18.247257947921753,2.0,1.0,18.376827716827393,2.0,1.0,7.33774995803833,1.0,1.0,6.26221489906311,1.0,1.0,7.086838960647583,1.0,1.0,14.991267204284668,1.0,1.0,4.9379050731658936,1.0,1.0,7.780752182006836,1.0,1.0,8.46326494216919,1.0,1.0,12.220563888549805,2.0,1.0,4.927721977233887,1.0,1.0,7.979399919509888,1.0,1.0,20.73211693763733,1.0,1.0,5.1189210414886475,1.0,1.0,11.328046083450317,1.0,1.0,7.434467077255249,1.0,1.0,13.46977710723877,1.0,1.0,5.957677125930786,1.0,1.0,9.043696880340576,1.0
6,1.0,7.724969148635864,1.0,1.0,16.9540057182312,2.0,1.0,2.3586230278015137,1.0,1.0,3.4316461086273193,1.0,1.0,3.031165838241577,1.0,1.0,6.113196849822998,1.0,1.0,3.489579916000366,1.0,1.0,14.978265047073364,2.0,1.0,14.268927812576294,2.0,1.0,3.455928087234497,1.0,1.0,4.075620889663696,1.0,1.0,8.937794208526611,2.0,1.0,4.473242998123169,1.0,1.0,6.9654130935668945,1.0,1.0,5.178314924240112,1.0,1.0,13.250602960586548,1.0,1.0,4.464295864105225,1.0,0.0,0.0,3.0,1.0,7.031141996383667,1.0,1.0,4.51091194152832,1.0,1.0,4.422744035720825,1.0,1.0,4.209095001220703,1.0,1.0,4.1409618854522705,1.0,0.0,0.0,3.0,1.0,8.142518043518066,1.0,1.0,5.613702774047852,1.0,0.0,0.0,3.0,1.0,5.943258047103882,1.0,1.0,8.115957021713257,1.0,1.0,22.368146896362305,1.0,1.0,12.1042160987854,1.0,1.0,5.83513617515564,1.0,1.0,9.93480896949768,1.0,0.0,0.0,1.0,1.0,5.790208101272583,1.0,1.0,24.08321189880371,1.0,1.0,17.311182022094727,2.0,1.0,24.501989126205444,1.0,1.0,10.21763300895691,1.0,1.0,14.395376205444336,2.0,0.0,0.0,2.0,1.0,14.561063051223755,1.0,1.0,8.183295011520386,1.0,1.0,9.473177909851074,1.0,1.0,7.450423002243042,1.0,1.0,15.931758880615234,2.0,1.0,11.890780925750732,1.0,1.0,4.927487134933472,1.0,1.0,7.511397123336792,1.0,1.0,9.921735048294067,1.0,1.0,6.166108131408691,1.0,1.0,6.341600179672241,1.0,1.0,9.011728048324585,1.0,0.0,0.0,2.0,1.0,8.03926706314087,1.0,1.0,16.36194610595703,2.0,1.0,7.90412712097168,1.0,1.0,10.145512819290161,1.0,1.0,7.52112889289856,1.0,1.0,12.842391014099121,1.0
7,0.0,0.0,3.0,1.0,8.365886926651001,1.0,1.0,2.96512508392334,1.0,1.0,2.9938859939575195,1.0,1.0,8.70185112953186,2.0,1.0,3.9979300498962402,1.0,1.0,2.2135820388793945,1.0,1.0,2.3475451469421387,1.0,1.0,3.953594923019409,1.0,1.0,10.215475082397461,2.0,1.0,5.801741123199463,1.0,1.0,5.8653059005737305,1.0,0.0,0.0,3.0,1.0,3.304764986038208,1.0,1.0,4.27543306350708,1.0,1.0,7.601196050643921,1.0,1.0,7.539139986038208,1.0,1.0,6.042484998703003,1.0,1.0,4.330794811248779,1.0,1.0,3.948218822479248,1.0,1.0,2.857501983642578,1.0,1.0,3.0362119674682617,1.0,1.0,3.61063289642334,1.0,1.0,14.882792949676514,2.0,1.0,8.346549034118652,1.0,1.0,3.458527088165283,1.0,1.0,12.931916952133179,2.0,1.0,4.300940036773682,1.0,1.0,4.259841203689575,1.0,1.0,6.474431037902832,1.0,1.0,21.722639322280884,3.0,1.0,5.855622053146362,1.0,1.0,18.3487229347229,1.0,1.0,12.251367092132568,2.0,1.0,5.1700279712677,1.0,1.0,5.25403904914856,1.0,1.0,7.015228986740112,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.971925973892212,1.0,0.0,0.0,4.0,1.0,8.517278909683228,1.0,1.0,8.859498977661133,1.0,1.0,7.6741108894348145,1.0,1.0,9.049531698226929,2.0,1.0,6.72498893737793,1.0,1.0,7.713306903839111,1.0,0.0,0.0,2.0,1.0,8.395972967147827,1.0,1.0,7.433971166610718,1.0,1.0,7.10051703453064,1.0,1.0,4.9367029666900635,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.505688905715942,1.0,1.0,5.537221193313599,1.0,1.0,5.409130096435547,1.0,1.0,9.789121866226196,2.0,1.0,5.189043998718262,1.0,1.0,7.663873910903931,1.0
8,1.0,37.74699401855469,1.0,1.0,27.720078945159912,1.0,1.0,3.851280927658081,1.0,1.0,4.3034348487854,1.0,1.0,9.109308958053589,1.0,1.0,4.8308210372924805,1.0,1.0,4.0345399379730225,1.0,1.0,3.7665672302246094,1.0,1.0,6.507067918777466,1.0,1.0,7.014726161956787,1.0,1.0,5.03773307800293,1.0,1.0,10.311195850372314,1.0,1.0,37.666619062423706,2.0,1.0,5.563401937484741,1.0,1.0,6.86231803894043,1.0,1.0,7.950978994369507,1.0,1.0,6.392953157424927,1.0,1.0,11.594053983688354,1.0,1.0,14.311306953430176,1.0,1.0,5.638051986694336,1.0,1.0,4.723528861999512,1.0,1.0,5.958698034286499,1.0,1.0,7.523753881454468,1.0,1.0,10.084812879562378,1.0,1.0,24.90840721130371,1.0,1.0,6.451524972915649,1.0,1.0,64.30665588378906,1.0,1.0,14.919562816619873,1.0,1.0,10.117799997329712,1.0,1.0,12.423747062683105,1.0,0.0,0.0,1.0,1.0,9.220372915267944,1.0,1.0,13.506446123123169,1.0,1.0,7.979696035385132,1.0,1.0,19.480077028274536,1.0,1.0,49.140758991241455,1.0,1.0,9.58126711845398,1.0,1.0,16.74204683303833,1.0,1.0,29.069525003433228,1.0,1.0,59.74634599685669,2.0,1.0,12.83621597290039,1.0,1.0,32.152554988861084,1.0,1.0,43.1331729888916,1.0,1.0,9.003535032272339,1.0,1.0,10.856736898422241,1.0,1.0,11.21959400177002,1.0,1.0,36.074759006500244,1.0,1.0,7.167811870574951,1.0,1.0,17.45091986656189,1.0,1.0,34.821979999542236,2.0,1.0,7.37293004989624,1.0,1.0,6.314791202545166,1.0,1.0,30.360618114471436,1.0,1.0,77.5728349685669,1.0,1.0,7.820129156112671,1.0,1.0,14.340013980865479,1.0,1.0,14.161706924438477,1.0,1.0,14.092901945114136,1.0,1.0,11.884361982345581,1.0,1.0,13.591127157211304,1.0
9,1.0,19.358651876449585,1.0,1.0,23.941657066345215,1.0,1.0,4.074563980102539,1.0,1.0,2.3648760318756104,1.0,0.0,0.0,1.0,1.0,31.016295194625854,2.0,1.0,4.052323818206787,1.0,1.0,21.070333003997803,1.0,1.0,10.30702018737793,1.0,0.0,0.0,1.0,1.0,10.250041007995605,1.0,1.0,4.373532056808472,1.0,1.0,36.94465494155884,2.0,1.0,13.444986820220947,1.0,1.0,10.652305841445923,1.0,1.0,16.118940830230713,1.0,1.0,9.960081100463867,1.0,1.0,32.13568902015686,1.0,1.0,17.23200798034668,1.0,1.0,9.099339008331299,1.0,1.0,15.474086999893188,1.0,1.0,7.144389867782593,1.0,1.0,25.201871871948242,1.0,1.0,21.169806957244873,2.0,1.0,41.41602182388306,1.0,1.0,6.538985013961792,1.0,0.0,0.0,1.0,1.0,8.883105039596558,1.0,1.0,16.807981967926025,2.0,1.0,14.551856994628906,1.0,1.0,43.7149498462677,2.0,1.0,19.297220945358276,2.0,1.0,6.234222888946533,1.0,1.0,25.01467800140381,1.0,1.0,18.159486055374146,1.0,1.0,21.074952125549316,1.0,1.0,23.85474395751953,1.0,1.0,25.84222912788391,1.0,1.0,15.485728025436401,1.0,1.0,11.826992988586426,1.0,0.0,0.0,1.0,1.0,14.497925996780396,1.0,1.0,10.111685991287231,1.0,1.0,17.700473070144653,1.0,1.0,10.229164123535156,1.0,1.0,15.57483983039856,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,21.83583402633667,1.0,1.0,22.99795413017273,1.0,1.0,9.018779039382935,1.0,1.0,9.75413990020752,1.0,1.0,11.596589088439941,1.0,1.0,15.559137105941772,1.0,1.0,8.183815002441406,1.0,1.0,16.759922981262207,1.0,1.0,30.61519694328308,1.0,1.0,62.88824510574341,3.0,1.0,12.731382131576538,1.0,1.0,12.367568969726562,1.0
